district,peer_index,overall_score,environment_score,performance_score,progress_score,additional_credit,num_test_takers,sat_critical_reading_mean,sat_mathematics_mean,sat_writing_mean
27,2.91,85.1,11.3,19.5,51.3,3.0,63.0,455.0,423.0,420.0
27,2.13,49.6,7.6,10.0,30.5,1.5,102.0,377.0,372.0,362.0
27,2.05,37.8,6.1,9.4,22.3,0.0,114.0,393.0,390.0,380.0
27,2.38,52.1,6.0,7.9,36.7,1.5,397.0,380.0,401.0,380.0
27,2.32,60.6,7.7,9.3,34.6,9.0,302.0,399.0,424.0,404.0
27,3.21,76.1,8.1,15.0,44.0,9.0,87.0,421.0,464.0,424.0
28,2.87,70.3,6.9,15.3,40.6,7.5,627.0,468.0,491.0,462.0
28,2.26,45.0,7.3,8.6,29.1,0.0,153.0,393.0,400.0,391.0
28,2.57,57.1,12.4,10.4,32.8,1.5,498.0,385.0,400.0,385.0
28,2.89,70.1,8.7,19.3,37.6,4.5,529.0,455.0,490.0,439.0
28,3.54,67.1,6.2,18.2,42.7,0.0,89.0,525.0,532.0,515.0
